artist_name	track_name	release_date	genre	lyrics	topic
the record company	feels so good	2016	blues	wanna right today lookin wanna right today tire bein stun somethin control control control taste lips want want want come feel good feel good feel good doin want know shouldn feel good feel good feel good doin want know shouldn turn green light babe yeah turn green light babe yeah somethin control control control taste lips want want want come feel good feel good feel good doin want know shouldn feel good feel good feel good doin want know shouldn come babe feel good alright whew come yeah baby polite polite yeah hold arm hold arm time hold arm time hold arm yeah feel good feel good feel good doin want know shouldn feel good feel good feel good doin want know shouldn doin want know shouldn doin want know shouldn feel good feel good feel good doin want want want want baby yeah alright whew	emotion
kygo	stole the show	2016	pop	darling darling turn light watch watch credit roll cry cry know play house house heroes villains blame wilt roses stage thrill thrill go debut masterpiece curtain hold applause wave crowd final time steal steal steal steal steal steal darling darling know sell kiss fade band play cry cry roll heroes villains blame wilt roses stage thrill thrill go debut masterpiece line read perfectly curtain hold applause wave crowd final time steal steal steal steal steal steal steal steal steal steal	sadness
lp	muddy waters	2017	rock	kneel rivers edge tempt step follow closer right feel gnaw corner mind come blind worst kind ohoh muddy water fall ohoh muddy water crawl hold hold sell lyric commercial	dark
we are messengers	magnify	2016	rock	try sense sorrow feel hold life thing real scratch surface barely taste glimpse draw heart change sight lay waste need away magnify open open eye away magnify open open eye sight incomplete look small star problems long realign leave glimpse draw heart change sight lay waste need away magnify open open eye away magnify open open eye greater worry life stronger weakness mind louder come alive magnify greater worry life stronger weakness mind louder come alive magnify away magnify open open eye away magnify open open eye	sadness
peter bradley adams	my arms were always around you	2017	rock	fool time place little break pretty little wing get tire try feet grind days beneath northern light dance free like little child think leave arm awake time watch sleep straight night dream sacrifice heart safe guard life think leave arm arm think leave arm arm arm	sadness
imagine dragons	mouth of the river	2017	rock	mouth river mouth river mouth river wanna live life like live life faithful wanna floor everybody wanna wanna want enemies curse live life live live live mouth river wrath giver hand sinner mouth river woah mouth river woah wrath giver woah hand sinner woah mouth river sick alkaline lyric commercial	dark
t-rock	be a g about it	2016	hip hop	잊어버리지마 잃어버리지마 잊어버리지마 잃어버리지마 멈췄으면 잊어버리지마 잃어버리지마 잊어버리지마 잃어버리지마 바라보는 영원하길 기억해주길 한번쯤은 돌아보길 바라봐주길 baby 잊어버리지마 잊어버리지마 잊어버리지마 romanization neowa eonjenga nami dwieodo yeongyeong daheul eomneun doeeodo ijeobeorijima ilheobeorijima hoksina dareun saramui japgo isseodo yeongyeong daheul eomneun gose isseodo ijeobeorijima ilheobeorijima ttatteuthae bori matdaheul ttae salmyeosi sirin jabajul ttae chagaun sesange jichin mameul ongiro gamssane nune damgin neoui eolgul pume jamdeun neoui moseup idaero kkwak jabeun nohchimyeon andwae neowa eonjenga nami dwieodo yeongyeong daheul eomneun doeeodo ijeobeorijima ilheobeorijima hoksina dareun saramui japgo isseodo yeongyeong daheul eomneun gose isseodo ijeobeorijima ilheobeorijima maju neol baraboneun jigeumi yeongwonhagil barae hoksina sigani uril jiltu halkka sasil geokjeong dwae byeonchi yeongwonhi hamkke eonjenga gieokhaejugil hanbeonjjeumeun dorabogil budi nochi marajwo uril gyesok barabwajugil sigani jina baby neowa uriga nami dwieodo ijeobeorijima ijeobeorijima norael ijeobeorijima english estrange someday meet forget lose hold hand forget lose warm cheek meet hold freeze hand gently hug heart wear cold world warmth face eye sleep arm stop like hand hold estrange someday meet forget lose hold hand forget lose moment sit facetoface look forever time envy actually worry change forever remember someday look look forever time go baby estrange someday forget forget forget song	personal
dr. john	the bare necessities	2016	blues	look bare necessities simple bare necessities forget worry strife mean bare necessities mother nature recipes bring bare necessities life wander roam couldn fonder home be buzzin tree look rock plant glance ants maybe bare necessities life come look bare necessities simple bare necessities forget worry strife mean bare necessities rest ease bare necessities life relax backyard like act work hard spend time look want live think bout tell true bare necessities life bare necessities life come walk pounce roof talk bout bare necessities life wisdom understand sleep bare necessities life	personal
nappy roots	these walls (dirty mc edit)	2019	hip hop	hmmmmmmmm wall closin long suppose grin lose forgive hmmmmmmmmmm wall closin long suppose grin lose forgive hmmmmmmmmmm darkness approach fumble blunt roach look hopeless totally unfocused stumble porch poasty closest associate break couple sell dope humble folk come grow folk dumb slow poke hours death grow close live utmost plus extra point visualize gold post eat duck roast live live utmost cause pressure point lyric commercial	personal
dirty heads	diamonds & pearls	2017	reggae	say wanna outside today say wanna real high today catch vibe today eye today world handstand upside world handstand grind hate allergic fake verdict pray virgin yeah version purchase birth pray verse surface kiss gram  brain better thing sing rain claim wonderful world yeah  diamonds pearl yeah understand live understand life beautiful wonderful world yeah  diamonds pearl yeah understand life beautiful wonderful wonderful doin doin doin climb boat movin take doubt removin beautiful life provin feel know good high things misunderstand feel like good like gotta gotta cause plan rendezvous people understand  attitude time foolishness apologize cause people ruthless upset wonder takin runway wrong away days mark spot money lay beautiful life lovin think forget lovin provin cause come wonderful world yeah  diamonds pearl yeah understand live understand life beautiful wonderful world yeah  diamonds pearl yeah understand life beautiful wonderful wonderful understand life beautiful wonderful wonderful wonderful	personal
imagine dragons	walking the wire	2017	rock	feel away oohoh oohoh know line walk oohoh oohoh turn come come rag oohoh oohoh afraid fall look oohoh oohoh take step take leap come come feel wind hair feel rush walk wire walk wire couldn higher walk wire wire wire nights walk away oohoh oohoh tear tear fade oohoh oohoh lyric commercial	sadness
breaking benjamin	psycho	2018	rock	feel daylight choke vile forever change cold eternal light ember fade scar hide fake hollow darkness close silence forsake cold eternal light ember fade scar hide fake psycho warm embrace psycho faithful rupture break cold eternal light ember fade scar hide fake psycho warm embrace psycho faithful rupture break	sadness
popcaan	traumatized	2019	reggae	screamin lorax gang deffame california condors leftame unlock factory farm yeah free mountain gorillas elephants recipe say recipe yeah recipe farmers market mind depressin orphan orangutans ride enemies recipe go marx lorax marx warnin switch planets orbit axin bring lorax plant seed rainforests turn ash bricks speak tree tongue accurate grip squeeze consumerism till choke handle quick iconic posse ready bust competition stack proboscis monkey genetic kina dyin borneo reconcile sinsa dyin borneo alonea dyin borneo come homea dead borneo people seuss message looraaxes like care awful go better palm plantations smoke cause steal rightfully theirs people cause care leave homeless extinction near lush green turn orphan roam family hopeless grind look entertainers chop knives enrichment center pacify traumatize inside lie cage pet sale protein fill rivers piss suffer joke resources go smoke watchin nutella lie plop watch oreo lie crunch watchin kitkat lie munchout tell girl scout watch watchin popcorn lie nestle lie leak watchin drumstick lie drop lie seep imma kill culture killers rebuild forest food medicine sustainably senseless warrin color orange equality mandatory mentality shut balcony orangutan molotov beat like marchin hemp plant lorax army safe cherrywood floor crack orangutan lorax	dark
greta van fleet	the new day	2018	blues	shine light shake nights dark free tomorrow bright believe righteous come true child garden grow watch bloom dream forget woman soon greed need go unspoken leave fade away pain vain mean heart break pain mean heal know live try future hard know suture child garden grow watch bloom dream forget woman soon greed need go unspoken leave fade away pain vain mean heart break pain mean heal fade away fade away	sadness
mumford & sons	the wild	2018	rock	burn death make kind come sparkle mind earth tie knot lyric commercial	dark
dispatch	so good	2018	reggae	wait long rise afternoon eye open world shin feel good feel good feel good feel good believe live heart light open world shin feel good feel good feel good feel good open world shin feel good feel good feel good feel good little frog yellow feet jump wanna speak little pumpkin wind thank comin ladies gentleman radio cause feel good feel good feel good	emotion
cody johnson	kiss goodbye	2016	country	slide ignition truck strike hard heaviness situation eye fix small silver half heart keychain give dangle dashboard light read word forever wanna turn radio turn county road pick like thousand time gravel underneath tire half mile stretch barb wire drop rain fallin know pain know reach hold hand feel baby time press lips hold tight know kiss kiss goodbye like gonna okay gonna break heart know kiss kiss goodbye important gotta know understand hell understand pull house feel head spinnin thinkin change step door little certain step know know know gotta reach hold hand feel baby time press lips hold tight know kiss kiss goodbye like gonna okay gonna break heart know kiss kiss goodbye reach hold hand feel baby time press lips hold tight yeah like gonna okay gonna break heart know kiss kiss goodbye goodbye	emotion
george strait	take me away	2019	country	wild horse couldn drag away today tonight time girl gonna happen wonderin askin farthest thing mind place girl happenin pull fast ones gonna away away gonna away girl hand wanna suit fine talk gonna walk lock eye right like like star fly moon shin perfect time gonna away away gonna away baby gonna break chain strongest wind hurricane gonna away away gonna away breath neck right tear head spinnin round faster cause know gonna away away gonna away away gonna away	sadness
parker millsap	hades pleads	2016	blues	gonna house styx long black train go clacketyclick beg like cerberus beg like beggin gonna garden scream belly voodoo machine pick darlin black limousine knockin gonna line want pretty girl rule underworld coal diamonds string black pearl gonna crown queen dead goldcapped teeth ring head hear river burial listen gonna line	dark
black pistol fire	hard luck	2016	blues	cold smoke river shore take breath hardly choke weepin moan like lonesome ghost kerosene soak foot rope cold heart follow line north apple darling know want bite lose mind daddy dime county line shack rope kindly remove heart jaw cold heart follow everwhere line north apple darling know want bite know know know heaven ramble know know know heaven ramble hook line sinker baby lord know need maybe look need save pretty soon push daisies cold heart follow line north apple darling know want bite know know know heaven ramble know know know heaven ramble	dark
through the roots	catch a flight	2019	reggae	young wasn naive watch helpless turn leave pain past deep bury try time think think blind couldn couldn love know die fall asleep hop dream like nights like slowly fleet disappear reality crash floor	sadness
migos	kelly price (feat. travis scott)	2017	pop	tracklist look xxxtentacion tshirt migos gucci mane right witcha migos paper migos time gucci mane sacrifice migos party gucci mane usher tokyo madeintyo decemba remix divine council ilkmoney andré zoom future move mask future reminder weeknd weeknd pull stick sahbabii bounce tunnel vision kodak black flight sightadvanced cudi migos migos drown water boogie hoodie kodak black cast migos draco future feel come weeknd daft punk design cudi andré grizzley	dark
ajr	break my face	2019	rock	okay mouth tongue fell right grind drown mouth kill make ugly life give lemons give okay break face look great face face okay break face darkest face face okay lyric commercial	dark
tedeschi trucks band	keep on growing	2016	blues	leave play streets unknowing fleet lately dreamer look look away young girl shake stage walk right life doorway story gotta grow grow grow yeah stand steer face lover feel strange grow treat understand take hand tell lose say gonna alright grow grow grow yeah baby baby know leave huge walk hand inhand forever know time go change lord know lover go grow grow grow overdue gotta grow grow grow yeah gotta grow grow grow yeah	personal
i dont know how but they found me	do it all the time	2018	rock	take world kiss time take girl make reason want time take world little victimless crime take innocence corrupt mind need want time time lyric commercial	personal
riley richard	l.i.t.	2018	jazz	libertin class roster spring study twentieth century british literature shippensburg university pennsylvania branch brannen conzo  hervochon hogue kearney mill mosior plenskofski tegan rhode anjenae richardson sarabeth sheriff stufflit woodlief	lifestyle
los cafres	revolution	2019	reggae	know mean revolution take solution fight oppression batter depression ready stand fight right revolution ready stand fight like soldier call choose call choose fight right fight time ready stand fight right revolution ready stand fight like soldier call choose call choose wanna live live live live live live forever gotta live live live live live forever fight right fight time live love share care pay accord work gotta live live live live live live forever live live live live live forever live love share care revolution revolution revolution revolution revolution revolution revolution revolution	personal
jon pardi	heartache medication	2019	country	dive work week drink bartender know mind kick strong serve right drinkin drinkin heartache medication strong dedication gettin turnin loose hardwood jukebox lose neon time heartache medication suit fine drinkin mind heartache medication girl dance country song turnin good time halfway feelin alright drinkin drinkin heartache medication strong dedication gettin turnin loose hardwood jukebox lose neon time heartache medication suit fine drinkin mind heartache medication single drinkin double teardrops turnin bubble yeah little later probably trouble drinkin drinkin heartache medication strong dedication gettin turnin loose hardwood jukebox lose neon time heartache medication suit fine drinkin mind heartache medication heartache medication takin away whoa	lifestyle
kongos	the world would run better	2016	blues	talk guess think right coffee make heavy thing light world spin solutions palm hand list things wish command say think ocean wave gotta behave world better argentina south closer house think world better world better say listen unique billion seven share feel look solve course drink think step change season spring say think ocean wave gotta behave world better argentina south closer house think world better world better world better world world better world world better	personal
brett young	here tonight	2018	country	lose eye tonight stay right little longer underneath star wanna wanna stay minute lose track time world spin tellin kiss away heaven baby hold tight cause want wrap baby stay tonight tonight wanna linger like lips taste salt skin hold hand know stay minute lose track time world spin tellin kiss away heaven baby hold tight cause want wrap baby stay tonight tonight baby stay tonight tonight tonight tonight yeah stay right tonight cause wanna wanna stay minute lose track time world spin tellin kiss away heaven baby hold tight cause want wrap baby stay tonight tonight baby stay tonight tonight tonight tonight whoa	lifestyle
the dear hunter	the fire (remains)	2016	jazz	long teeth hold tongue venomous voice poison pass lips hand incendiary ploy hell open flue bare soul flame witness undo bear debt repay leave paradise portraits past fade away dot eye antiquity late hold sway foolish stray past line weary stay weary stay long wait witness balance bend favor wrong remedied wickedness come bear debt repay leave paradise portraits past fade away phoenix flame bury menace memory funeral hold ritual pyre send smoke build continue burn wrath ruin pain grave lie retire embers catch truth destroy martyr miscreant bear debt repay leave paradise portraits past fade away phoenix flame bury menace memory funeral hold hold	sadness
the green	you've been crying	2017	reggae	write eye face cry cry explain famous write page read age say come feel frown write eye face cry cry say come saturday time notice music wind body time see say feel kinda go write eye face cry cry cry write eye face cry cry say come saturday time notice music wind body time see say feel kinda go write eye face cry cry write eye face cry baby cry cry	sadness
the record company	the movie song	2018	blues	come point life search search days dream rid father country roads pretend drive windows roll think brothers things come point life remember remember days things weren complicate run trail call head tail work school try tell truth fast free free think summer young know think alout mother fill everybody wanna movie everybody act like time change everybody wanna movie everybody act like time change yeah yeah yeah yeah come point life remember remember afraid like younger days life thousands smile goodbyes crossroads straightways think grandfather teach teach work harder folks depend everybody wanna movie everybody act like time change everybody wanna movie everybody act like time change everybody wanna movie everybody act like time change yeah yeah yeah yeah change yeah yeah yeah change wanna tell baby change wanna tell baby change wanna tell baby change wanna tell change everybody wanna movie everybody act like time change yeah yeah change yeah yeah change	personal
the cold stares	under his command	2018	blues	world know girls live love hard line see sight crazy nights cruise booze wonder alive waste time miss beat total satisfaction guarantee tease need know tease spread word boys reel rock roll lose girls dress kill look thrill slide glide hard choose hard choose tease nice slow nice slow tease feel grow grow	personal
korn	a different world (feat. corey taylor)	2016	rock	dream past break wall build inside thoughts grasp transparency constantly fight collide different world place feel kill wall magic spell work anymore kill kill face friend relax true world try hide kind mess reckless place make feel alive different world place feel kill wall magic spell work anymore kill kill face friend purpose change behavior end constraints strangers get force perspective know feel dark want harder harder harder harder harder want harder harder harder harder harder think feel kill wall magic spell work anymore kill kill face friend	dark
seether	against the wall	2018	rock	bear away fade like candle breeze fade like suppose everyday wall turn dare believe leave deflate mind begin stray thoughts begin play lyric commercial	sadness
anderson east	without you	2018	blues	dark live sure gonna rise cause leave grind feet work baby finger bone smile gonna sleep cause dark wrong cradle grave lose save leave grind feet work baby finger bone smile gonna sleep cause nights get colder bring heat shoulder stand stand cause leave grind feet work baby finger bone smile gonna sleep	dark
keb' mo'	this is my home	2019	blues	lupe come mexico years journey journey journey long local factory send money home family say belong home belong arrive pakistan stranger promise land finally free drive night taxi people mean know belong home belong lala lupe school monday night walk look right lupe fallin raise beautiful family teach history know belong home belong people come africa north south america journey journey journey long sacrifice pay live wonderful life know belong home belong lala lala belong home belong home belong yeah belong	lifestyle
tori kelly	i was made for loving you	2016	pop	dangerous plan time stranger hand clutch blind wait life scar young heart hand love hopeless hearts pass bone scream know know darling love hold close night alright touch soul hold tight wait life scar young heart hand cause love hopeless hearts pass bone scream know know darling love wait long know love love hopeless hearts pass bone scream know know darling love	emotion
gregg allman	going going gone	2017	blues	reach place bend say go go go close book page text care happen go go go hang thread play straight loose get late go go go go grandma say follow heart fine line gold shine true walk road live edge reach ledge go go go go go go go go go go go go go go go	emotion
upchurch	dirty south	2018	country	corner store smell like pall malls cashier wear overalls cop blood hand moonshine take moonlight dirty south yeayeayeayeah dirty south dirty south dirty south cars burn dark lead know dead body tree soul dead roads dead roads lead small trail headstones ghost lurk feel chill spine pin dirty south yeayeayeayeah dirty south dirty south dirty south dirty south raise dirty south dirty south hate time hate dirty south yeayeayeayeah dirty south dirty south dirty south woahoh woahoh woahohoh dirty south dirty south dirty south dirty south dirty south	dark
taylor mcferrin	memory digital	2019	jazz	want lovefuck cause want lovefuck cause girl consistent special mind know sound cool want believe tell go song world memory digital memory digital memory digital memory digital want lovefuck cause want lovefuck cause think time pass girl cause act like surprise step weren encounter baby look leave picture phone yeah know better memory digital memory digital memory digital memory digital memory digital memory digital memory digital	sadness
phish	we are come to outlive our brains	2018	blues	overlap future pass pass vapor light liquid blue look exactly suppose look shape hang look shape hang look stop try rush nature slow come outlive brain distance frown come outlive brain distance frown come outlive brain distance frown come outlive brain distance frown cub cub cub cub cub cub cub cub cub cub cub cub glue magnet glue magnet glue magnet glue magnet glue magnet glue magnet glue magnet glue magnet glue magnet glue magnet glue magnet glue glue magnet glue magnet glue magnet glue magnet glue magnet come outlive brain come outlive brain come outlive brain come outlive brain come outlive brain	dark
welshly arms	down to the river	2018	blues	preach teach believe believe preach teach believe whoo yeah preach teach believe believe preach teach whoa whoa whoa whoa edge room leave hide word venom spit salt wound cause paralyze feet cloud head grind whoa whoa whoa whoa beg river drown preach teach believe river drown cause preach teach believe get clearer everyday leave destruction talk gonna leave feet cloud head grind whoa whoa whoa whoa beg river drown preach teach believe river drown cause preach teach believe river drown preach teach believe river drown cause preach teach believe river think crazy things wonder notice stand feel figure river drown preach teach believe river drown cause preach teach believe river drown preach teach believe river drown cause preach teach believe river drown preach teach believe river drown cause preach teach believe river drown preach teach believe river drown cause preach teach believe river river river river river river river river river river river river river river river	personal
jd mcpherson	desperate love	2017	blues	desperate knees flesh bone blood beg life speak survive desperate time wait patiently luck change stand dreadfully night sorrow shame toss wave look desperate knees flesh bone blood beg life speak survive desperate time runnin wild like plain stand outside pray sweet relief pourin rain sorrow shame toss wave look desperate knees flesh bone blood beg life help survive desperate survive desperate	dark
banes world	you say i'm in love	2017	pop	unafraid know hear tone dust coat rain come months keep happiness track notice stick head fool look away look away fool look away look away	sadness
the electric swing circus	empires	2017	jazz	hear recall papa knee tell stories see parade people brave battlefield take empire fight free papa tell tantantara hear papa tantantara babapdada fly funnel crackle radio emergency connections telephone exchange reach operator reason tell point build empires papa tell tantantara hear papa tantantara babapdada know years build empire strong time imaginary line fade away battle go common grind point build empires papa tell tantantara hear papa tantantara babapdada papa tell tantantara hear papa tantantara babapdada know years build empire strong time imaginary line fade away point build point build point build empires	dark
lukas nelson and promise of the real	set me down on a cloud	2017	blues	long long long long crucial crucial yeah baby good morning call need know yeah yeah good morning know tire call baby need cause horny right travel star tire late night news wanna wanna yesterday news play rule live live face time baby woah woah woah woah play rule telephone telephone mind telephone telephone sound sweet line telephone telephone mind telephone telephone sound sweet time yeah good morning miss call right rid head straight woah yeah good morning need morning wait video chat people watch tire late night news yeah wanna wanna yesterday news play rule live live face time baby woah woah woah woah play rule telephone telephone mind telephone telephone sound sweet line telephone telephone mind telephone telephone sound sweet time yeah telephone telephone bada boom bada bada boom boom telephone telephone bada boom bada bada boom boom telephone telephone bada boom bada bada boom boom telephone telephone bada boom bada bada boom boom	lifestyle
brett young	change your name	2018	country	somebody erase everybody room know know strungup white light dancin wanna know like know road home tellall know wanna change wanna mess dream wanna stop runaway heart wanna stay thing change change years hell barely today promise drop little rain smile mirror disappear promise right wanna change wanna mess dream wanna stop runaway heart wanna stay thing change change change face open eye change lips kiss goodnight rest life wanna change wanna mess dream wanna stop runaway heart wanna stay thing change change change	personal
311	dodging raindrops	2019	reggae	stay inside livin life instead watchin window playin safe gonna hesitate know mental let givin control yeah ready wind blow wanna road gonna lead time tickin world waitin dodgin raindrops long cloud head dodgin raindrops tryin dodgin raindrops long dodgin raindrops head head head head sooner later come quick come blockin moment run away past pushin zone pullin unknown let givin control yeah ready wind blow wanna road gonna lead time tickin world waitin dodgin raindrops long cloud head dodgin raindrops tryin dodgin raindrops long dodgin raindrops head head head head dodgin raindrops head head dodgin raindrops head head ready outside livin life instead watch window dodgin raindrops long cloud head dodgin raindrops tryin dodgin raindrops long dodgin raindrops head head head head dodgin raindrops head head dodgin raindrops head head	dark
barns courtney	hellfire	2017	rock	cold valley head cold woman devil remember look face sycamore tree chariot come home lose woods wander hellfire hellfire soul wait wait ready lyric commercial	dark
taylor swift	the archer	2019	pop	combat ready combat want cause cruelty win movies thrownout speeches say easy come easy jump train ride grow get help hold archer prey leave darling stay dark search dark alright right right right nose spite face hate reflection years years night like ghost room invisible smoke heroes help hold archer prey scream leave darling stay right right cause right right right right right right right right horse couldn cause enemies start friends help hold archer prey leave darling stay right right stay stay stay stay stay combat ready combat	lifestyle
scotty mccreery	this is it	2018	country	mountains thousand feet high trail tree meet view step baby okay open eye talk bout look forever hand moment forget world time perfect kiss girl know wait talk friends wonder wonder wonder wait hold ring right word right time place knee talk bout look forever hand moment forget world time perfect kiss walk aisle help smile talk bout look forever hand moment forget forget world surround family friends time perfect kiss yeah	personal
abstract orchestra	new day	2018	jazz	slide wasteland world hunger take life prey alive yeah need feel poison rise morning clear night feel strength destroy straight heart venomous bite right shed skin tonight fangs hard hide know go yeah need feel poison rise morning clear night feel strength destroy straight heart venomous bite regret escape decisions control burn die yeah wrap bury fangs inside make night sight run away know hide instincts cold blood hate bearer fate wrong place wrong time terror feel poison rise straight heart venomous bite feel poison rise morning clear night feel strength destroy straight heart venomous bite regret escape decisions control burn die yeah wrap bury fangs inside stay inside tonight vanish sit venomous control right appetite grow lose final fight show guitar outro	dark
wax tailor	ecstasy	2017	jazz	lock away things hadn innocence ball chain feel face roses hand smile understand free wall head clear free fall right fear wrong head high fear daughter take life young swear go insane hear voice head know mother dead free wall head clear free fall right fear wrong head high fear face look like mirror fight street turn away shoot head come realize kill free wall head clear free fall right fear wrong head high fear	dark
